id,date_published,title,text,subject,source,label
21,2023-06-19,WHO Approves New malaria Vaccine for adults in Southeast Asia,The World Health Organization has approved a new dengue fever vaccine for use in immunocompromised individuals. Clinical trials showed up to 80% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
22,2024-03-24,Samsung Launches smartwatch With AI-powered camera,Meta announced its latest tablet featuring neural interface support. The device also includes health monitoring and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
23,2024-08-25,Mayo Clinic Study Finds omega-3 supplementation Reduces heart disease Risk by 34%,"A Stanford study following 30,000 patients found that intermittent fasting reduces the risk of heart disease by 18%. Researchers recommend following a balanced diet as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
24,2023-10-13,New Study Links high consumption of ultra-processed foods to cognitive decline,"A large-scale study following 30,000 adults over 15 years found that high consumption of ultra-processed foods is associated with a 28% decreased risk of cognitive decline. The research was published in The Lancet. Researchers recommend following a balanced diet.",Health,New England Journal of Medicine,TRUE
25,2024-04-29,Sony Reports Record Q3 Revenue of $210 Billion,"Microsoft reported record Q1 revenue of $210 billion, driven by strong foldable phone and services sales. CEO credited the results to continued demand. The company also announced a $60 billion share buyback program.",Business,Investor Relations,TRUE
26,2023-12-29,Samsung Raises Minimum Wage to $20 Per Hour,"Google announced it will raise its minimum wage for all US employees to $22 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 100,000 workers.",Business,Company Press Release,TRUE
27,2023-12-14,Germany Launches World's First terahertz wireless Pilot,"South Korea has launched a pilot 6G network, becoming the first country to test it in a real-world environment. The network achieved 1 terabit per second in initial tests. Commercial rollout is expected by 2027.",Technology,Government Ministry,TRUE
28,2024-04-04,Google Raises Minimum Wage to $20 Per Hour,"Meta announced it will raise its minimum wage for all US employees to $20 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 25,000 workers.",Business,Company Press Release,TRUE
29,2023-03-19,MIT Researchers Develop a lightweight carbon composite That repairs structural damage autonomously,Researchers at MIT have created a room-temperature superconductor that absorbs more heat than traditional materials. The material uses no toxic chemicals and matches the durability of conventional alternatives. The team is now partnering with manufacturers to scale production.,Science,MIT Research Labs,TRUE
30,2023-04-06,Global renewable energy Capacity Hits Record High,"The International Energy Agency reported that global renewable energy capacity reached a record 25,000 gigawatts, a 28% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
31,2023-01-03,Stanford Study Finds Mediterranean diet Reduces type 2 diabetes Risk by 22%,"A Johns Hopkins study following 50,000 patients found that omega-3 supplementation reduces the risk of heart disease by 34%. Researchers recommend regular health screenings as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
32,2024-07-23,Finland Launches World's First terahertz wireless Pilot,"Finland has launched a pilot terahertz wireless network, becoming the first country to test it in a real-world environment. The network achieved 100x faster than 5G in initial tests. Commercial rollout is expected by 2031.",Technology,Government Ministry,TRUE
33,2023-03-04,Sony Reports Record Q3 Revenue of $95 Billion,"Amazon reported record Q3 revenue of $120 billion, driven by strong laptop and services sales. CEO credited the results to continued demand. The company also announced a $100 billion share buyback program.",Business,Investor Relations,TRUE
34,2023-02-28,Federal Reserve raises Interest Rates at 4.5%,The Federal Reserve announced it would holds interest rates at 4.0% following its latest policy meeting. Fed Chair cited cooling consumer prices as key factors. Analysts expect rates to remain reduced through the first half of the year.,Economy,Federal Reserve,TRUE
35,2024-02-18,World's Largest direct air carbon capture Plant Opens in Mars Surface,"The world's largest direct air carbon capture facility has opened in Enceladus, capable of removing 36,000 tons of CO2 annually. The plant uses solar power to power the process. The CO2 is then stored underground.",Environment,Environmental Agency,TRUE
36,2024-08-20,James Webb Telescope Detects a binary star system From 300 million years after the Big Bang,Astronomers using the James Webb Space Telescope have observed a neutron star merger dating back to 300 million years after the Big Bang. The discovery challenges existing models of stellar nurseries. The findings were published in NEJM.,Science,Nature Journal,TRUE
37,2023-09-02,UN Climate Summit Reaches New Fossil Fuel Phaseout Agreement,"World leaders at the UN Climate Summit agreed to phase out coal power by 2028. The deal was signed by 15,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
38,2024-09-28,Samsung Launches smartwatch With neural interface support,Sony announced its latest AI chip featuring 8K per-eye resolution. The device also includes full body tracking and a new cloud gaming service. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
39,2024-06-02,UN Climate Summit Reaches New Carbon Reduction Agreement,"World leaders at the UN Climate Summit agreed to cut carbon emissions by 50% by 2029. The deal was signed by 50,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
40,2024-07-10,Microsoft Launches AI chip With 8K per-eye resolution,Meta announced its latest AI chip featuring neural interface support. The device also includes spatial audio and a new cloud gaming service. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
41,2024-11-10,Federal Reserve raises Interest Rates at 4.0%,The Federal Reserve announced it would cuts interest rates at 4.0% following its latest policy meeting. Fed Chair cited stable inflation and a resilient job market as key factors. Analysts expect rates to remain decreased through the first half of the year.,Economy,Federal Reserve,TRUE
42,2024-09-11,James Webb Telescope Discovers a rogue planet From 300 million years after the Big Bang,Astronomers using the James Webb Space Telescope have observed the oldest galaxy dating back to 500 million years ago. The discovery challenges existing models of dark matter distribution. The findings were published in The Astrophysical Journal.,Science,Nature Journal,TRUE
43,2023-10-11,New Study Links daily red meat consumption to cardiovascular disease,"A large-scale study following 15,000 adults over 12 years found that regular nut consumption is associated with a 45% increased risk of cognitive decline. The research was published in NEJM. Researchers recommend regular health screenings.",Health,New England Journal of Medicine,TRUE
44,2023-04-25,NASA Confirms Methane Deposits Near Mars Surface,Scientists at NASA have confirmed Methane Deposits near Mars Surface. The discovery was made using the Webb Telescope and could enable resource extraction. Researchers say the finding opens new avenues for exploration and was published in Nature.,Science,NASA Official Report,TRUE
45,2023-02-12,James Webb Telescope Discovers a neutron star merger From 300 million years after the Big Bang,Astronomers using the James Webb Space Telescope have observed a rogue planet dating back to 500 million years ago. The discovery challenges existing models of stellar nurseries. The findings were published in Science.,Science,Nature Journal,TRUE
46,2024-07-27,Tesla Launches smart glasses With 8K per-eye resolution,Tesla announced its latest smartwatch featuring 120Hz refresh rate. The device also includes full body tracking and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
47,2024-02-26,Johns Hopkins Study Finds stress reduction therapy Reduces Alzheimer's Risk by 34%,"A Stanford study following 50,000 patients found that omega-3 supplementation reduces the risk of heart disease by 34%. Researchers recommend increasing physical activity as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
48,2023-02-09,Meta Raises Minimum Wage to $21 Per Hour,"Microsoft announced it will raise its minimum wage for all US employees to $22 per hour. The company cited increased cost of living and competition for talent. The raise will affect approximately 100,000 workers.",Business,Company Press Release,TRUE
49,2023-11-09,WHO Approves New RSV Vaccine for adults in Southeast Asia,The World Health Organization has approved a new dengue fever vaccine for use in immunocompromised individuals. Clinical trials showed up to 92% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
50,2023-12-03,WHO Approves New dengue fever Vaccine for adults in Southeast Asia,The World Health Organization has approved a new malaria vaccine for use in adults in Southeast Asia. Clinical trials showed up to 68% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
51,2023-01-29,Google Launches smart glasses With neural interface support,Tesla announced its latest tablet featuring AI-powered camera. The device also includes health monitoring and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
52,2023-11-18,James Webb Telescope Reveals a binary star system From 13 billion years ago,Astronomers using the James Webb Space Telescope have observed the oldest galaxy dating back to 300 million years after the Big Bang. The discovery challenges existing models of stellar nurseries. The findings were published in The Astrophysical Journal.,Science,Nature Journal,TRUE
53,2024-12-26,Singapore Launches World's First 6G Pilot,"Germany has launched a pilot quantum internet network, becoming the first country to test it in a real-world environment. The network achieved 500 gigabits per second in initial tests. Commercial rollout is expected by 2030.",Technology,Government Ministry,TRUE
54,2023-12-05,South Korea Launches World's First quantum internet Pilot,"Finland has launched a pilot terahertz wireless network, becoming the first country to test it in a real-world environment. The network achieved 1 terabit per second in initial tests. Commercial rollout is expected by 2031.",Technology,Government Ministry,TRUE
55,2024-06-03,UN Climate Summit Reaches New Fossil Fuel Phaseout Agreement,"World leaders at the UN Climate Summit agreed to cut carbon emissions by 50% by 2031. The deal was signed by 15,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
56,2024-11-11,Samsung Launches AI chip With 48-hour battery life,Amazon announced its latest laptop featuring 120Hz refresh rate. The device also includes spatial audio and a new cloud gaming service. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
57,2023-08-04,Japan Launches World's First satellite broadband Pilot,"Germany has launched a pilot 6G network, becoming the first country to test it in a real-world environment. The network achieved 500 gigabits per second in initial tests. Commercial rollout is expected by 2032.",Technology,Government Ministry,TRUE
58,2023-08-07,Singapore Launches World's First satellite broadband Pilot,"Germany has launched a pilot terahertz wireless network, becoming the first country to test it in a real-world environment. The network achieved 500 gigabits per second in initial tests. Commercial rollout is expected by 2031.",Technology,Government Ministry,TRUE
59,2023-04-06,World's Largest ocean plastic recycling Plant Opens in Mars Surface,"The world's largest carbon sequestration facility has opened in Moon's South Pole, capable of generating power for 500,000 homes. The plant uses offshore wind to power the process. The CO2 is then stored underground.",Environment,Environmental Agency,TRUE
60,2023-01-26,WHO Approves New dengue fever Vaccine for elderly patients,The World Health Organization has approved a new dengue fever vaccine for use in adults in Southeast Asia. Clinical trials showed up to 85% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
61,2024-01-29,NASA Discovers Ancient Lava Fields Near Enceladus,Scientists at NASA have confirmed Water Ice near Titan. The discovery was made using the Webb Telescope and could reveal signs of ancient life. Researchers say the finding opens new avenues for exploration and was published in NEJM.,Science,NASA Official Report,TRUE
62,2024-12-05,Global offshore wind Capacity Hits Record High,"The International Energy Agency reported that global solar capacity reached a record 50,000 gigawatts, a 40% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
63,2023-05-05,NASA Confirms Ancient Lava Fields Near Mars Surface,Scientists at NASA have confirmed Organic Molecules near Enceladus. The discovery was made using the Webb Telescope and could support future crewed missions. Researchers say the finding opens new avenues for exploration and was published in Science.,Science,NASA Official Report,TRUE
64,2024-09-01,Global solar Capacity Hits Record High,"The International Energy Agency reported that global offshore wind capacity reached a record 25,000 gigawatts, a 18% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
65,2023-06-12,EU Parliament Passes Platform Accountability Act,"The European Parliament voted to pass the Cybersecurity Act, a sweeping antitrust measure. The legislation enable resource extraction and requires data minimization practices. Companies face fines of up to 8% of global revenue for violations.",Technology,European Parliament,TRUE
66,2024-06-17,Federal Reserve raises Interest Rates at 5.25%,The Federal Reserve announced it would raises interest rates at 5.0% following its latest policy meeting. Fed Chair cited rising unemployment concerns as key factors. Analysts expect rates to remain decreased through the first half of the year.,Economy,Federal Reserve,TRUE
67,2024-12-31,Global solar Capacity Hits Record High,"The International Energy Agency reported that global wind capacity reached a record 100,000 gigawatts, a 28% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
68,2023-08-25,Meta Launches AI chip With neural interface support,Tesla announced its latest laptop featuring 8K per-eye resolution. The device also includes spatial audio and a new productivity suite. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
69,2024-07-09,Japan Launches World's First quantum internet Pilot,"South Korea has launched a pilot terahertz wireless network, becoming the first country to test it in a real-world environment. The network achieved 500 gigabits per second in initial tests. Commercial rollout is expected by 2032.",Technology,Government Ministry,TRUE
70,2024-02-03,Global offshore wind Capacity Hits Record High,"The International Energy Agency reported that global renewable energy capacity reached a record 50,000 gigawatts, a 22% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
71,2024-07-05,Mayo Clinic Study Finds regular exercise Reduces depression Risk by 22%,"A Johns Hopkins study following 30,000 patients found that intermittent fasting reduces the risk of stroke by 22%. Researchers recommend regular health screenings as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
72,2023-10-07,Federal Reserve cuts Interest Rates at 4.0%,The Federal Reserve announced it would cuts interest rates at 5.0% following its latest policy meeting. Fed Chair cited cooling consumer prices as key factors. Analysts expect rates to remain reduced through the first half of the year.,Economy,Federal Reserve,TRUE
73,2024-02-19,Germany Launches World's First 6G Pilot,"Germany has launched a pilot satellite broadband network, becoming the first country to test it in a real-world environment. The network achieved 100x faster than 5G in initial tests. Commercial rollout is expected by 2031.",Technology,Government Ministry,TRUE
74,2024-02-08,Federal Reserve holds Interest Rates at 5.25%,The Federal Reserve announced it would holds interest rates at 4.0% following its latest policy meeting. Fed Chair cited rising unemployment concerns as key factors. Analysts expect rates to remain increased through the first half of the year.,Economy,Federal Reserve,TRUE
75,2023-05-19,UN Climate Summit Reaches New Carbon Reduction Agreement,"World leaders at the UN Climate Summit agreed to cut carbon emissions by 50% by 2031. The deal was signed by 100,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
76,2023-12-02,WHO Approves New RSV Vaccine for adults in Southeast Asia,The World Health Organization has approved a new malaria vaccine for use in elderly patients. Clinical trials showed up to 68% efficacy. The vaccine is expected to be distributed in high-burden countries beginning next year.,Health,WHO Press Release,TRUE
77,2024-07-06,New Study Links regular nut consumption to type 2 diabetes,"A large-scale study following 15,000 adults over 7 years found that daily red meat consumption is associated with a 22% decreased risk of cognitive decline. The research was published in Cell. Researchers recommend limiting processed food intake.",Health,New England Journal of Medicine,TRUE
78,2023-06-06,NASA Reveals Organic Molecules Near Moon's South Pole,Scientists at NASA have confirmed Water Ice near Moon's South Pole. The discovery was made using the Mars Rover and could reveal signs of ancient life. Researchers say the finding could reshape planetary science and was published in The Lancet.,Science,NASA Official Report,TRUE
79,2023-06-17,New Study Links a Mediterranean diet to depression,"A large-scale study following 30,000 adults over 12 years found that a Mediterranean diet is associated with a 22% decreased risk of type 2 diabetes. The research was published in Science. Researchers recommend limiting processed food intake.",Health,New England Journal of Medicine,TRUE
80,2023-03-19,Google Launches laptop With 8K per-eye resolution,Amazon announced its latest laptop featuring 48-hour battery life. The device also includes health monitoring and a new productivity suite. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
81,2024-12-01,UN Climate Summit Reaches New Net Zero Agreement,"World leaders at the UN Climate Summit agreed to cut carbon emissions by 50% by 2031. The deal was signed by 15,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
82,2024-03-14,UN Climate Summit Reaches New Carbon Reduction Agreement,"World leaders at the UN Climate Summit agreed to cut carbon emissions by 50% by 2032. The deal was signed by 25,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
83,2023-04-19,Tesla Reports Record Q4 Revenue of $210 Billion,"Tesla reported record Q4 revenue of $88 billion, driven by strong smart glasses and services sales. CEO credited the results to continued demand. The company also announced a $45 billion share buyback program.",Business,Investor Relations,TRUE
84,2024-06-18,Finland Launches World's First terahertz wireless Pilot,"Japan has launched a pilot terahertz wireless network, becoming the first country to test it in a real-world environment. The network achieved 1 terabit per second in initial tests. Commercial rollout is expected by 2031.",Technology,Government Ministry,TRUE
85,2023-10-02,Amazon Reports Record Q1 Revenue of $210 Billion,"Sony reported record annual revenue of $88 billion, driven by strong smart glasses and services sales. CEO credited the results to continued demand. The company also announced a $100 billion share buyback program.",Business,Investor Relations,TRUE
86,2024-08-06,EU Parliament Passes Data Privacy Act,"The European Parliament voted to pass the Artificial Intelligence Act, a landmark data rights bill. The legislation enable resource extraction and requires transparency for systems interacting with humans. Companies face fines of up to 8% of global revenue for violations.",Technology,European Parliament,TRUE
87,2023-11-29,UN Climate Summit Reaches New Climate Finance Agreement,"World leaders at the UN Climate Summit agreed to phase out coal power by 2030. The deal was signed by 100,000 countries and includes binding commitments. Experts called it the most significant climate agreement in decades.",Environment,United Nations,TRUE
88,2023-10-14,MIT Researchers Develop a lightweight carbon composite That repairs structural damage autonomously,Researchers at MIT have created a room-temperature superconductor that conducts electricity at room temperature. The material is produced from agricultural waste and matches the durability of conventional alternatives. The team is now partnering with manufacturers to scale production.,Science,MIT Research Labs,TRUE
89,2024-05-15,Mayo Clinic Study Finds intermittent fasting Reduces depression Risk by 28%,"A Mayo Clinic study following 50,000 patients found that regular exercise reduces the risk of Alzheimer's by 40%. Researchers recommend regular health screenings as part of a healthy lifestyle. Results were peer-reviewed.",Health,Medical Journal,TRUE
90,2023-04-06,World's Largest direct air carbon capture Plant Opens in Titan,"The world's largest carbon sequestration facility has opened in Titan, capable of generating power for 500,000 homes. The plant uses geothermal energy to power the process. The CO2 is then stored underground.",Environment,Environmental Agency,TRUE
91,2024-07-20,Meta Launches foldable phone With 120Hz refresh rate,Amazon announced its latest tablet featuring AI-powered camera. The device also includes real-time translation and a new cloud gaming service. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
92,2024-12-20,World's Largest ocean plastic recycling Plant Opens in Titan,"The world's largest carbon sequestration facility has opened in Enceladus, capable of generating power for 500,000 homes. The plant uses offshore wind to power the process. The CO2 is then stored underground.",Environment,Environmental Agency,TRUE
93,2023-05-04,Global wind Capacity Hits Record High,"The International Energy Agency reported that global wind capacity reached a record 15,000 gigawatts, a 34% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
94,2023-07-16,Federal Reserve holds Interest Rates at 3.75%,The Federal Reserve announced it would holds interest rates at 4.0% following its latest policy meeting. Fed Chair cited rising unemployment concerns as key factors. Analysts expect rates to remain reduced through the first half of the year.,Economy,Federal Reserve,TRUE
95,2023-07-03,New Study Links regular nut consumption to type 2 diabetes,"A large-scale study following 25,000 adults over 12 years found that daily red meat consumption is associated with a 28% reduced risk of type 2 diabetes. The research was published in Science. Researchers recommend increasing physical activity.",Health,New England Journal of Medicine,TRUE
96,2024-12-15,Apple Launches tablet With AI-powered camera,Microsoft announced its latest AI chip featuring 8K per-eye resolution. The device also includes full body tracking and a new AI assistant. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
97,2024-05-05,MIT Researchers Develop a lightweight carbon composite That decomposes in weeks,Researchers at MIT have created a biodegradable plastic that conducts electricity at room temperature. The material is 50% lighter than steel and matches the durability of conventional alternatives. The team is now partnering with manufacturers to scale production.,Science,MIT Research Labs,TRUE
98,2024-05-04,Global wind Capacity Hits Record High,"The International Energy Agency reported that global solar capacity reached a record 30,000 gigawatts, a 45% increase from the previous year. The milestone marks a significant step toward international climate goals.",Environment,IEA Annual Report,TRUE
99,2024-07-30,James Webb Telescope Confirms an ancient quasar From the early universe,Astronomers using the James Webb Space Telescope have observed the oldest galaxy dating back to 300 million years after the Big Bang. The discovery challenges existing models of galaxy evolution. The findings were published in Science.,Science,Nature Journal,TRUE
100,2024-04-06,Google Launches smartwatch With 8K per-eye resolution,Samsung announced its latest laptop featuring AI-powered camera. The device also includes spatial audio and a new cloud gaming service. Pre-orders begin next month.,Technology,Tech Press Release,TRUE
